chrom	length	bases	mean	min	max
1	249250621	7529264082	30.21	0	3315
1_region	249250621	7529264082	30.21	0	3315
2	243199373	7889135075	32.44	0	30015
2_region	243199373	7889135075	32.44	0	30015
3	198022430	6411728589	32.38	0	1108
3_region	198022430	6411728589	32.38	0	1108
4	191154276	6194521693	32.41	0	5557
4_region	191154276	6194521693	32.41	0	5557
5	180915260	5868970700	32.44	0	4576
5_region	180915260	5868970700	32.44	0	4576
6	171115067	5542501711	32.39	0	22601
6_region	171115067	5542501711	32.39	0	22601
7	159138663	5126824254	32.22	0	16103
7_region	159138663	5126824254	32.22	0	16103
8	146364022	4802064144	32.81	0	21413
8_region	146364022	4802064144	32.81	0	21413
9	141213431	3922984976	27.78	0	823
9_region	141213431	3922984976	27.78	0	823
10	135534747	4302875509	31.75	0	3066
10_region	135534747	4302875509	31.75	0	3066
11	135006516	4329132500	32.07	0	2294
11_region	135006516	4329132500	32.07	0	2294
12	133851895	4285468683	32.02	0	46706
12_region	133851895	4285468683	32.02	0	46706
13	115169878	3143697385	27.30	0	685
13_region	115169878	3143697385	27.30	0	685
14	107349540	2930526462	27.30	0	1442
14_region	107349540	2930526462	27.30	0	1442
15	102531392	2777398229	27.09	0	11664
15_region	102531392	2777398229	27.09	0	11664
16	90354753	2894463959	32.03	0	31104
16_region	90354753	2894463959	32.03	0	31104
17	81195210	2574280032	31.70	0	8238
17_region	81195210	2574280032	31.70	0	8238
18	78077248	2464255883	31.56	0	5063
18_region	78077248	2464255883	31.56	0	5063
19	59128983	1849014750	31.27	0	1052
19_region	59128983	1849014750	31.27	0	1052
20	63025520	1965288912	31.18	0	1339
20_region	63025520	1965288912	31.18	0	1339
21	48129895	1223927179	25.43	0	6436
21_region	48129895	1223927179	25.43	0	6436
22	51304566	1165653662	22.72	0	818
22_region	51304566	1165653662	22.72	0	818
X	155270560	2588696855	16.67	0	9462
X_region	155270560	2588696855	16.67	0	9462
Y	59373566	664000131	11.18	0	25170
Y_region	59373566	664000131	11.18	0	25170
MT	16569	58709071	3543.31	1685	4464
MT_region	16569	58709071	3543.31	1685	4464
GL000207.1	4262	158575	37.21	0	100
GL000207.1_region	4262	158575	37.21	0	100
GL000226.1	15008	119469372	7960.38	14	29263
GL000226.1_region	15008	119469372	7960.38	14	29263
GL000229.1	19913	1253466	62.95	0	113
GL000229.1_region	19913	1253466	62.95	0	113
GL000231.1	27386	1747687	63.82	0	177
GL000231.1_region	27386	1747687	63.82	0	177
GL000210.1	27682	592876	21.42	0	69
GL000210.1_region	27682	592876	21.42	0	69
GL000239.1	33824	3673816	108.62	1	472
GL000239.1_region	33824	3673816	108.62	1	472
GL000235.1	34474	2416188	70.09	2	201
GL000235.1_region	34474	2416188	70.09	2	201
GL000201.1	36148	633778	17.53	0	44
GL000201.1_region	36148	633778	17.53	0	44
GL000247.1	36422	2089143	57.36	0	217
GL000247.1_region	36422	2089143	57.36	0	217
GL000245.1	36651	2517606	68.69	0	234
GL000245.1_region	36651	2517606	68.69	0	234
GL000197.1	37175	658276	17.71	0	44
GL000197.1_region	37175	658276	17.71	0	44
GL000203.1	37498	736317	19.64	0	99
GL000203.1_region	37498	736317	19.64	0	99
GL000246.1	38154	871969	22.85	0	53
GL000246.1_region	38154	871969	22.85	0	53
GL000249.1	38502	658649	17.11	0	36
GL000249.1_region	38502	658649	17.11	0	36
GL000196.1	38914	672154	17.27	0	46
GL000196.1_region	38914	672154	17.27	0	46
GL000248.1	39786	636558	16.00	0	41
GL000248.1_region	39786	636558	16.00	0	41
GL000244.1	39929	1776573	44.49	0	144
GL000244.1_region	39929	1776573	44.49	0	144
GL000238.1	39939	769067	19.26	0	55
GL000238.1_region	39939	769067	19.26	0	55
GL000202.1	40103	1053827	26.28	0	68
GL000202.1_region	40103	1053827	26.28	0	68
GL000234.1	40531	2775681	68.48	0	174
GL000234.1_region	40531	2775681	68.48	0	174
GL000232.1	40652	2846342	70.02	0	170
GL000232.1_region	40652	2846342	70.02	0	170
GL000206.1	41001	509991	12.44	0	39
GL000206.1_region	41001	509991	12.44	0	39
GL000240.1	41933	2192131	52.28	0	197
GL000240.1_region	41933	2192131	52.28	0	197
GL000236.1	41934	722474	17.23	0	90
GL000236.1_region	41934	722474	17.23	0	90
GL000241.1	42152	3212516	76.21	6	254
GL000241.1_region	42152	3212516	76.21	6	254
GL000243.1	43341	2937955	67.79	0	289
GL000243.1_region	43341	2937955	67.79	0	289
GL000242.1	43523	746689	17.16	0	43
GL000242.1_region	43523	746689	17.16	0	43
GL000230.1	43691	830588	19.01	0	95
GL000230.1_region	43691	830588	19.01	0	95
GL000237.1	45867	5455217	118.94	0	301
GL000237.1_region	45867	5455217	118.94	0	301
GL000233.1	45941	779237	16.96	0	103
GL000233.1_region	45941	779237	16.96	0	103
GL000204.1	81310	2180794	26.82	0	65
GL000204.1_region	81310	2180794	26.82	0	65
GL000198.1	90085	5979284	66.37	0	205
GL000198.1_region	90085	5979284	66.37	0	205
GL000208.1	92689	15631167	168.64	0	5382
GL000208.1_region	92689	15631167	168.64	0	5382
GL000191.1	106433	2258214	21.22	0	59
GL000191.1_region	106433	2258214	21.22	0	59
GL000227.1	128374	2134888	16.63	0	80
GL000227.1_region	128374	2134888	16.63	0	80
GL000228.1	129120	6545655	50.69	0	6276
GL000228.1_region	129120	6545655	50.69	0	6276
GL000214.1	137718	47557368	345.32	0	6359
GL000214.1_region	137718	47557368	345.32	0	6359
GL000221.1	155397	11814558	76.03	0	287
GL000221.1_region	155397	11814558	76.03	0	287
GL000209.1	159169	2357368	14.81	0	51
GL000209.1_region	159169	2357368	14.81	0	51
GL000218.1	161147	7971076	49.46	0	169
GL000218.1_region	161147	7971076	49.46	0	169
GL000220.1	161802	361390895	2233.54	3	16791
GL000220.1_region	161802	361390895	2233.54	3	16791
GL000213.1	164239	3257451	19.83	0	82
GL000213.1_region	164239	3257451	19.83	0	82
GL000211.1	166566	5706718	34.26	0	105
GL000211.1_region	166566	5706718	34.26	0	105
GL000199.1	169874	49395306	290.78	0	12506
GL000199.1_region	169874	49395306	290.78	0	12506
GL000217.1	172149	7192751	41.78	0	134
GL000217.1_region	172149	7192751	41.78	0	134
GL000216.1	172294	10492381	60.90	1	1081
GL000216.1_region	172294	10492381	60.90	1	1081
GL000215.1	172545	2402383	13.92	0	68
GL000215.1_region	172545	2402383	13.92	0	68
GL000205.1	174588	18874408	108.11	0	284
GL000205.1_region	174588	18874408	108.11	0	284
GL000219.1	179198	12765685	71.24	0	249
GL000219.1_region	179198	12765685	71.24	0	249
GL000224.1	179693	33855523	188.41	2	2842
GL000224.1_region	179693	33855523	188.41	2	2842
GL000223.1	180455	3155390	17.49	0	54
GL000223.1_region	180455	3155390	17.49	0	54
GL000195.1	182896	22604823	123.59	0	311
GL000195.1_region	182896	22604823	123.59	0	311
GL000212.1	186858	8433970	45.14	0	248
GL000212.1_region	186858	8433970	45.14	0	248
GL000222.1	186861	3856203	20.64	0	817
GL000222.1_region	186861	3856203	20.64	0	817
GL000200.1	187035	3047244	16.29	0	62
GL000200.1_region	187035	3047244	16.29	0	62
GL000193.1	189789	11030118	58.12	0	594
GL000193.1_region	189789	11030118	58.12	0	594
GL000194.1	191469	14186267	74.09	0	188
GL000194.1_region	191469	14186267	74.09	0	188
GL000225.1	211173	10003809	47.37	0	1398
GL000225.1_region	211173	10003809	47.37	0	1398
GL000192.1	547496	17827293	32.56	0	735
GL000192.1_region	547496	17827293	32.56	0	735
NC_007605	171823	1310	0.01	0	23
NC_007605_region	171823	1310	0.01	0	23
hs37d5	35477943	4614971694	130.08	0	55728
hs37d5_region	35477943	4614971694	130.08	0	55728
total	3137454505	97989661138	31.23	0	55728
total_region	3137454505	97989661138	31.23	0	55728
